央视频道,#genre#
北京卫视4K,http://112.19.88.97:8899/rtp/239.10.0.91:5140
东方卫视4K,http://222.218.122.93:8188/udp/239.81.0.76:4056
江苏卫视4K,http://222.218.122.93:8188/udp/239.81.0.73:4056
浙江卫视4K,http://222.218.122.93:8188/udp/239.81.0.75:4056
山东卫视4K,http://222.218.122.93:8188/udp/239.81.0.78:4056
四川卫视4K,http://222.218.122.93:8188/udp/239.81.0.80:4056
广东卫视4K,http://112.19.88.97:8899/rtp/239.10.0.94:5140
深圳卫视4K,http://112.19.88.97:8899/rtp/239.10.0.93:5140
爱上4K,http://112.66.80.239:8188/rtp/239.253.64.243:5140
绚影4K,http://171.213.240.211:8188/udp/239.93.42.33:5140
中录动漫4K,http://171.213.240.211:8188/udp/239.93.1.188:5140
亲子趣学4K,http://171.213.240.211:8188/udp/239.93.1.191:5140

🕘️更新时间,#genre#
2025-11-01 06:25:03,http://171.113.210.116:4022/rtp/239.254.96.96:8550
