央视频道,#genre#
常州都市,http://117.86.51.74:8888/rtp/239.49.0.220:9590
常州公共,http://117.86.51.74:8888/rtp/239.49.0.218:9582
常州生活,http://117.86.51.74:8888/rtp/239.49.0.219:9586
海峡卫视,http://120.40.57.98:1000/rtp/239.61.2.151:8894
福建综合,http://120.40.57.98:1000/rtp/239.61.3.4:9542
福建公共,http://120.40.57.98:1000/rtp/239.61.2.3:8012
福建新闻,http://120.40.57.98:1000/rtp/239.61.2.4:8018
福建电视剧,http://120.40.57.98:1000/rtp/239.61.2.5:8024
福建旅游,http://120.40.57.98:1000/rtp/239.61.2.6:8030
福建经济,http://120.40.57.98:1000/rtp/239.61.2.7:8036
福建文体,http://120.40.57.98:1000/rtp/239.61.2.160:8948
福建少儿,http://120.40.57.98:1000/rtp/239.61.2.9:8048
福建教育,http://120.40.57.98:1000/rtp/239.61.2.173:9026
厦门卫视,http://183.251.61.207/PLTV/88888888/224/3221226781/index.m3u8
厦门1,http://183.251.61.207/PLTV/88888888/224/3221226814/index.m3u8
厦门2,http://183.251.61.207/PLTV/88888888/224/3221226777/index.m3u8
泉州新闻,http://112.109.206.106:9999/rtp/239.255.40.172:8208
漳州新闻,http://112.109.206.106:9999/rtp/239.255.40.173:8208

体育专区,#genre#
CCTV5,http://114.241.218.114:4022/rtp/239.3.1.173:8001
CCTV5+,http://114.241.218.114:4022/rtp/239.3.1.130:8004
北京体育休闲,http://114.241.218.114:4022/rtp/239.3.1.243:8000
广东体育,http://61.140.126.67:10022/udp/239.77.0.112:5146
山东体育,http://123.168.95.21:4000/udp/239.21.1.141:5002
江苏体育休闲,http://117.86.51.74:8888/rtp/239.49.8.117:8000
陕西体育休闲,http://125.76.196.28:8899/rtp/239.111.205.36:5140
安徽综艺体育,http://114.107.45.29:8188/rtp/238.1.79.41:4440
深圳体育健康,http://61.140.126.67:10022/udp/239.77.1.128:5146
福建文体,http://120.40.57.98:1000/rtp/239.61.2.160:8948
重庆文体娱乐,http://123.145.27.222:8001/udp/225.0.4.194:7980
内蒙古文体娱乐,http://111.127.156.228:51234/rtp/239.29.0.211:5000
山西文体生活,http://123.174.106.183:8888/udp/239.1.1.6:8006
黑龙江文体,http://218.8.87.96:4000/rtp/229.58.190.116:5000
睛彩竞技,http://114.241.218.114:4022/rtp/239.3.1.125:8001
睛彩篮球,http://114.241.218.114:4022/rtp/239.3.1.126:8001
睛彩青少,http://183.220.107.138:4022/rtp/239.10.0.130:5140
睛彩广场舞,http://114.241.218.114:4022/rtp/239.3.1.128:8001
咪咕体育直播1,http://183.220.107.138:4022/rtp/239.10.0.232:5140
咪咕体育直播2,http://183.220.107.138:4022/rtp/239.10.0.233:5140
咪咕体育直播3,http://183.220.107.138:4022/rtp/239.10.0.234:5140
咪咕体育直播4,http://183.220.107.138:4022/rtp/239.10.0.235:5140
咪咕体育直播5,http://183.220.107.138:4022/rtp/239.10.0.236:5140
苏超1,http://117.86.51.74:8888/rtp/239.49.8.96:8000
苏超2,http://117.86.51.74:8888/rtp/239.49.8.97:8000
苏超3,http://117.86.51.74:8888/rtp/239.49.8.98:8000
苏超4,http://117.86.51.74:8888/rtp/239.49.8.99:8000
苏超5,http://117.86.51.74:8888/rtp/239.49.8.100:8000
苏超6,http://117.86.51.74:8888/rtp/239.49.8.101:8000
苏超7,http://117.86.51.74:8888/rtp/239.49.8.63:9354

4K专区,#genre#
